timestamp,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,comm_us,total_us,speedup
2026-05-19T23:08:05,2000,2,1,1,735,4408,9,67,5219,1.7273
2026-05-19T23:08:15,2000,2,1,2,720,4446,17,70,5253,1.7162
2026-05-19T23:08:24,2000,2,2,1,720,2105,7,348,3180,2.8349
2026-05-19T23:08:34,2000,2,2,2,725,2165,14,311,3215,2.8040
2026-05-19T23:08:44,10000,2,1,1,3843,41508,51,287,45689,1.9751
2026-05-19T23:08:53,10000,2,1,2,3937,42369,62,277,46645,1.9346
2026-05-19T23:09:03,10000,2,2,1,3796,17604,36,1196,22632,3.9872
2026-05-19T23:09:13,10000,2,2,2,3800,19090,43,429,23362,3.8626
