timestamp,version,n_particles,iters,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T10:28:28,v1,2000,2,1,395,8247,19,8661,1.0384
2026-05-22T10:28:28,v1,2000,2,2,402,8275,24,8701,1.0337
2026-05-22T10:28:29,v1,10000,2,1,2621,84835,82,87538,1.0326
2026-05-22T10:28:29,v1,10000,2,2,2763,86388,87,89238,1.0129
2026-05-22T10:28:29,v2,2000,2,1,368,9009,16,9393,0.9575
2026-05-22T10:28:29,v2,2000,2,2,395,8646,21,9062,0.9925
2026-05-22T10:28:29,v2,10000,2,1,2650,87778,80,90508,0.9987
2026-05-22T10:28:30,v2,10000,2,2,2812,85859,93,88764,1.0183
2026-05-22T10:28:30,v3,2000,2,1,369,8780,17,9166,0.9812
2026-05-22T10:28:30,v3,2000,2,2,402,8572,24,8998,0.9996
2026-05-22T10:28:30,v3,10000,2,1,2616,86296,82,88994,1.0157
2026-05-22T10:28:31,v3,10000,2,2,2776,89094,92,91962,0.9829
2026-05-22T10:28:31,v3s,2000,2,1,325,7716,20,8061,1.1157
2026-05-22T10:28:31,v3s,2000,2,2,353,7656,23,8032,1.1198
2026-05-22T10:28:31,v3s,10000,2,1,1975,60480,83,62538,1.4454
2026-05-22T10:28:31,v3s,10000,2,2,2105,59539,92,61736,1.4641
