timestamp,version,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T10:28:41,v1,2000,2,1,1,716,4321,9,5046,1.7824
2026-05-22T10:28:51,v1,2000,2,1,2,720,4407,14,5141,1.7495
2026-05-22T10:29:00,v1,2000,2,2,1,717,2125,6,2848,3.1580
2026-05-22T10:29:10,v1,2000,2,2,2,715,2050,12,2777,3.2387
2026-05-22T10:29:20,v1,10000,2,1,1,3824,41171,47,45042,2.0068
2026-05-22T10:29:29,v1,10000,2,1,2,3834,42980,55,46869,1.9286
2026-05-22T10:29:39,v1,10000,2,2,1,3664,16364,35,20063,4.5053
2026-05-22T10:29:49,v1,10000,2,2,2,3680,16747,44,20471,4.4155
2026-05-22T10:29:59,v2,2000,2,1,1,743,4396,8,5147,1.7474
