timestamp,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,comm_us,total_us,speedup
2026-05-22T10:34:43,2000,2,1,1,726,4367,9,65,5167,1.7819
2026-05-22T10:34:52,2000,2,1,2,726,4471,16,69,5282,1.7431
2026-05-22T10:35:02,2000,2,2,1,719,2231,7,190,3147,2.9256
2026-05-22T10:35:12,2000,2,2,2,736,2245,15,200,3196,2.8808
2026-05-22T10:35:21,10000,2,1,1,3841,42565,52,268,46726,1.9634
2026-05-22T10:35:31,10000,2,1,2,3844,43209,59,281,47393,1.9358
2026-05-22T10:35:41,10000,2,2,1,3664,16473,36,1650,21823,4.2040
2026-05-22T10:35:51,10000,2,2,2,3679,17418,45,454,21596,4.2482
