timestamp,n_particles,iters,tree_us,force_us,integrate_us,total_us
2026-05-19T14:15:28,5000,10,4971,143614,192,148777
2026-05-19T14:15:30,10000,10,14923,451187,389,466499
2026-05-19T14:15:43,50000,10,126180,4263667,1947,4391794
2026-05-19T14:16:15,100000,10,288504,10333709,3978,10626191
